t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalized_fitness,overcurrent,overtemp,timeout
17,3,1.0,1.042336113022999,2.0317465902331,0.46982001507726195,2.048627083464743,2.048627083464743,False,False,False
18,3,0.5310997003832663,0.8903416014601017,2.2495732763333107,0.6655859067056448,1.1159761746355958,1.1159761746355958,False,False,False
19,3,0.6173979313216685,1.0829421008906486,2.2207422167399002,0.4341265099610654,1.3031967934406161,1.3031967934406161,False,False,False
20,3,0.8899438130132831,0.7488655076387121,2.4083957558074682,0.7352609693387583,1.7452954601401753,1.7452954601401753,False,False,False
21,3,0.6766709636352718,0.9968850486286785,2.401690436729052,0.49553754689810986,1.3881409793598074,1.3881409793598074,False,False,False
22,3,0.5912650911296782,0.741133263372449,2.2359289705082004,0.5991843549414262,1.198127690902477,1.198127690902477,False,False,False
23,3,0.6865735483171851,0.9926585584501318,2.2888019141207603,0.8421649796302979,1.3573609695006421,1.3573609695006421,False,False,False
24,3,1.0,0.7040472306293608,2.370424784179979,0.7109410556401669,1.9027111176553677,1.9027111176553677,False,False,False
25,3,0.6497747688347991,0.9528230022454974,2.327894603600098,0.328063680325614,1.3634665596941125,1.3634665596941125,False,False,False
26,3,0.933645393460636,0.7733414099167533,2.314543131512522,0.32389556542702985,1.9043059572577268,1.9043059572577268,False,False,False
27,3,0.8591648763954065,1.1125927305068508,2.3820803449490726,0.7116356404095678,1.6948258432341077,1.6948258432341077,False,False,False
28,3,1.0,0.9979262390864234,2.2275652863103024,0.5408179102011559,2.059350723366918,2.059350723366918,False,False,False
29,3,1.0,0.9584807788395457,2.4653097801823987,0.5151324210847518,1.9024995974651517,1.9024995974651517,False,False,False
30,3,0.6426882454905786,0.5499837134258179,2.263015491941068,0.5662038350389382,1.329681780097897,1.329681780097897,False,False,False
31,3,0.9160483916850769,0.7713271360005645,2.246207243011752,0.9737716617669263,1.7882831523684328,1.7882831523684328,False,False,False
32,3,0.6888711142930376,1.013294136485953,2.2949986947710954,0.6956517493023611,1.4167131059695717,1.4167131059695717,False,False,False
33,3,0.9630309537334074,0.7422503000589475,2.118440382043371,0.6320097113949521,1.9648742940327844,1.9648742940327844,False,False,False
34,3,1.0,1.0743425224335315,2.280392770748224,0.8934304739689307,1.8753963758642636,1.8753963758642636,False,False,False
35,3,0.8924563729637093,1.1579487389518868,2.630996951055544,0.9137149111016121,1.649653937064063,1.649653937064063,False,False,False
36,3,1.0,0.8917900837923506,2.530106614796179,0.5134542715511489,1.8680953710847692,1.8680953710847692,False,False,False
37,3,0.9653805304416974,0.4831589754487814,2.415615193196071,0.6658791657874048,1.8748027214113179,1.8748027214113179,False,False,False
38,3,1.0,0.7361372606944304,2.4443071558174374,0.647378343044908,1.909410999012765,1.909410999012765,False,False,False
